Better[Test][Epoch: 1, Accu: 4.167%
Better[Test][Epoch: 2, Accu: 58.333%
[Test][Epoch: 3, Accu: 58.333%
[Test][Epoch: 4, Accu: 58.333%
Better[Test][Epoch: 5, Accu: 70.833%
Better[Test][Epoch: 6, Accu: 75.000%
[Test][Epoch: 7, Accu: 50.000%
[Test][Epoch: 8, Accu: 62.500%
[Test][Epoch: 9, Accu: 70.833%
[Test][Epoch: 10, Accu: 75.000%
Better[Test][Epoch: 11, Accu: 79.167%
[Test][Epoch: 12, Accu: 79.167%
[Test][Epoch: 13, Accu: 75.000%
Better[Test][Epoch: 14, Accu: 87.500%
[Test][Epoch: 15, Accu: 79.167%
[Test][Epoch: 16, Accu: 83.333%
Better[Test][Epoch: 17, Accu: 91.667%
[Test][Epoch: 18, Accu: 87.500%
[Test][Epoch: 19, Accu: 87.500%
Better[Test][Epoch: 20, Accu: 95.833%
[Test][Epoch: 21, Accu: 95.833%
[Test][Epoch: 22, Accu: 87.500%
[Test][Epoch: 23, Accu: 95.833%
[Test][Epoch: 24, Accu: 87.500%
[Test][Epoch: 25, Accu: 87.500%
Better[Test][Epoch: 26, Accu: 100.000%
[Test][Epoch: 27, Accu: 91.667%
[Test][Epoch: 28, Accu: 83.333%
[Test][Epoch: 29, Accu: 91.667%
[Test][Epoch: 30, Accu: 95.833%
[Test][Epoch: 31, Accu: 83.333%
[Test][Epoch: 32, Accu: 79.167%
[Test][Epoch: 33, Accu: 95.833%
[Test][Epoch: 34, Accu: 100.000%
[Test][Epoch: 35, Accu: 87.500%
[Test][Epoch: 36, Accu: 91.667%
[Test][Epoch: 37, Accu: 95.833%
[Test][Epoch: 38, Accu: 100.000%
[Test][Epoch: 39, Accu: 91.667%
[Test][Epoch: 40, Accu: 91.667%
[Test][Epoch: 41, Accu: 91.667%
[Test][Epoch: 42, Accu: 87.500%
[Test][Epoch: 43, Accu: 100.000%
[Test][Epoch: 44, Accu: 91.667%
[Test][Epoch: 45, Accu: 91.667%
[Test][Epoch: 46, Accu: 100.000%
[Test][Epoch: 47, Accu: 100.000%
[Test][Epoch: 48, Accu: 100.000%
[Test][Epoch: 49, Accu: 100.000%
[Test][Epoch: 50, Accu: 100.000%
[Test][Epoch: 51, Accu: 100.000%
[Test][Epoch: 52, Accu: 100.000%
[Test][Epoch: 53, Accu: 95.833%
[Test][Epoch: 54, Accu: 100.000%
[Test][Epoch: 55, Accu: 100.000%
[Test][Epoch: 56, Accu: 100.000%
[Test][Epoch: 57, Accu: 100.000%
[Test][Epoch: 58, Accu: 95.833%
[Test][Epoch: 59, Accu: 100.000%
[Test][Epoch: 60, Accu: 100.000%
[Test][Epoch: 61, Accu: 100.000%
[Test][Epoch: 62, Accu: 100.000%
[Test][Epoch: 63, Accu: 100.000%
[Test][Epoch: 64, Accu: 100.000%
[Test][Epoch: 65, Accu: 100.000%
[Test][Epoch: 66, Accu: 100.000%
[Test][Epoch: 67, Accu: 100.000%
[Test][Epoch: 68, Accu: 100.000%
[Test][Epoch: 69, Accu: 100.000%
[Test][Epoch: 70, Accu: 100.000%
[Test][Epoch: 71, Accu: 100.000%
[Test][Epoch: 72, Accu: 100.000%
[Test][Epoch: 73, Accu: 100.000%
[Test][Epoch: 74, Accu: 100.000%
[Test][Epoch: 75, Accu: 100.000%
[Test][Epoch: 76, Accu: 100.000%
[Test][Epoch: 77, Accu: 100.000%
[Test][Epoch: 78, Accu: 100.000%
[Test][Epoch: 79, Accu: 100.000%
[Test][Epoch: 80, Accu: 100.000%
[Test][Epoch: 81, Accu: 100.000%
[Test][Epoch: 82, Accu: 100.000%
[Test][Epoch: 83, Accu: 100.000%
[Test][Epoch: 84, Accu: 100.000%
[Test][Epoch: 85, Accu: 100.000%
[Test][Epoch: 86, Accu: 100.000%
[Test][Epoch: 87, Accu: 100.000%
[Test][Epoch: 88, Accu: 100.000%
[Test][Epoch: 89, Accu: 100.000%
[Test][Epoch: 90, Accu: 100.000%
[Test][Epoch: 91, Accu: 100.000%
[Test][Epoch: 92, Accu: 100.000%
[Test][Epoch: 93, Accu: 100.000%
[Test][Epoch: 94, Accu: 100.000%
[Test][Epoch: 95, Accu: 100.000%
[Test][Epoch: 96, Accu: 100.000%
[Test][Epoch: 97, Accu: 100.000%
[Test][Epoch: 98, Accu: 100.000%
[Test][Epoch: 99, Accu: 100.000%
[Test][Epoch: 100, Accu: 100.000%
