[Train][Epoch:1, iter:1] Loss: 2.263 | Acc: 28.125%%
[Train][Epoch:1, iter:2] Loss: 2.287 | Acc: 21.875%%
[Train][Epoch:1, iter:3] Loss: 2.244 | Acc: 25.000%%
[Train][Epoch:1, iter:4] Loss: 2.306 | Acc: 19.531%%
[Train][Epoch:1, iter:5] Loss: 2.330 | Acc: 18.750%%
[Train][Epoch:1, iter:6] Loss: 2.309 | Acc: 18.750%%
[Train][Epoch:1, iter:7] Loss: 2.300 | Acc: 19.643%%
[Train][Epoch:1, iter:8] Loss: 2.277 | Acc: 20.703%%
[Train][Epoch:1, iter:9] Loss: 2.280 | Acc: 19.097%%
[Train][Epoch:1, iter:10] Loss: 2.281 | Acc: 18.438%%
[Train][Epoch:1, iter:11] Loss: 2.274 | Acc: 19.034%%
[Train][Epoch:1, iter:12] Loss: 2.256 | Acc: 18.750%%
[Train][Epoch:1, iter:13] Loss: 2.246 | Acc: 18.510%%
[Train][Epoch:1, iter:14] Loss: 2.229 | Acc: 18.750%%
[Train][Epoch:1, iter:15] Loss: 2.208 | Acc: 19.583%%
[Train][Epoch:1, iter:16] Loss: 2.189 | Acc: 21.094%%
[Train][Epoch:1, iter:17] Loss: 2.181 | Acc: 21.875%%
[Train][Epoch:1, iter:18] Loss: 2.173 | Acc: 22.396%%
[Train][Epoch:1, iter:19] Loss: 2.166 | Acc: 23.167%%
[Train][Epoch:2, iter:20] Loss: 1.861 | Acc: 34.375%%
[Train][Epoch:2, iter:21] Loss: 1.879 | Acc: 29.688%%
[Train][Epoch:2, iter:22] Loss: 1.869 | Acc: 31.250%%
[Train][Epoch:2, iter:23] Loss: 1.854 | Acc: 35.156%%
[Train][Epoch:2, iter:24] Loss: 1.855 | Acc: 32.500%%
[Train][Epoch:2, iter:25] Loss: 1.858 | Acc: 31.250%%
[Train][Epoch:2, iter:26] Loss: 1.853 | Acc: 31.250%%
[Train][Epoch:2, iter:27] Loss: 1.827 | Acc: 32.422%%
[Train][Epoch:2, iter:28] Loss: 1.792 | Acc: 35.069%%
[Train][Epoch:2, iter:29] Loss: 1.772 | Acc: 36.562%%
[Train][Epoch:2, iter:30] Loss: 1.781 | Acc: 35.795%%
[Train][Epoch:2, iter:31] Loss: 1.776 | Acc: 35.938%%
[Train][Epoch:2, iter:32] Loss: 1.799 | Acc: 35.096%%
[Train][Epoch:2, iter:33] Loss: 1.816 | Acc: 34.821%%
[Train][Epoch:2, iter:34] Loss: 1.798 | Acc: 35.833%%
[Train][Epoch:2, iter:35] Loss: 1.795 | Acc: 35.352%%
[Train][Epoch:2, iter:36] Loss: 1.782 | Acc: 35.846%%
[Train][Epoch:2, iter:37] Loss: 1.776 | Acc: 36.632%%
[Train][Epoch:2, iter:38] Loss: 1.781 | Acc: 36.833%%
[Train][Epoch:3, iter:39] Loss: 1.599 | Acc: 43.750%%
[Train][Epoch:3, iter:40] Loss: 1.566 | Acc: 43.750%%
[Train][Epoch:3, iter:41] Loss: 1.515 | Acc: 44.792%%
